6.	0.
6.5	1.1013258706428288e6
7.	1.3968396733284774e6
7.5	1.549552075480355e6
8.	1.6338976273058364e6
8.5	1.6795624704313471e6
9.	1.7015067490557514e6
9.5	1.7082091756467565e6
10.	1.704834639720338e6
10.5	1.6946880265066652e6
11.	1.6799607877293266e6
11.5	1.662145478108965e6
12.	1.64227963984812e6
12.5	1.6210958609040095e6
13.	1.599117471647292e6
13.5	1.5767213929868368e6
14.	1.5541804373102584e6
14.5	1.5316923788384106e6
15.	1.5094002915993123e6
15.5	1.4874069997383053e6
16.	1.4657854836940835e6
16.5	1.444586462744746e6
17.	1.4238439773274376e6
17.5	1.4035795360384036e6
18.	1.3838052207116159e6
18.5	1.3645260272873936e6
19.	1.3457416409080434e6
19.5	1.3274477886221414e6
20.	1.3096372743490997e6
20.5	1.2923007731961776e6
21.	1.275427442400332e6
21.5	1.2590053917740392e6
22.	1.2430220459872582e6
22.5	1.2274644232245726e6
23.	1.212319348953649e6
23.5	1.1975736191891604e6
24.	1.1832141243506905e6
24.5	1.1692279423171957e6
25.	1.155602407373612e6
25.5	1.1423251602803853e6
26.	1.1293841835659277e6
26.5	1.1167678252650695e6
27.	1.1044648136435687e6
27.5	1.0924642649146852e6
28.	1.080755685534711e6
28.5	1.0693289703343303e6
29.	1.058174397482659e6
29.5	1.0472826210702102e6
30.	1.0366446619452724e6
30.5	1.0262518972882328e6
31.	1.0160960493233977e6
31.5	1.0061691734738513e6
32.	996463.6462021358
32.5	986972.1527259804
33.	977687.6747558251
33.5	968603.478366899
34.	959713.1020913889
34.5	951010.3452944977
35.	942489.2568808143
35.5	934144.1243635892
36.	925969.4633185184
36.5	917960.0072349496
37.	910110.6977705825
37.5	902416.6754103857
38.	894873.2705263153
38.5	887475.9948312497
39.	880220.5332181597
39.5	873102.7359737837
40.	866118.6113548095
40.5	859264.3185137174
41.	852536.1607609025
41.5	845930.5791494127
42.	839444.146368563
42.5	833073.5609327559
43.	826815.6416520383
43.5	820667.3223712062
44.	814625.646964634
44.5	808687.7645743919
45.	802850.9250796754
45.5	797112.4747860088
46.	791469.852323176
46.5	785920.584741299
47.	780462.2837949666
47.5	775092.642405785
48.	769809.4312941853
48.5	764610.4957717743
49.	759493.7526859491
49.5	754457.1875089199
50.	749498.8515636903
50.5	744616.8593799314
51.	739809.3861730598
51.5	735074.6654401853
52.	730410.9866669271
52.5	725816.6931394244
53.	721290.1798561725
53.5	716829.8915345975
54.	712434.3207075695
54.5	708102.0059053033
55.	703831.5299183482
55.5	699621.5181375989
56.	695470.6369674802
56.5	691377.592308666
57.	687341.1281068886
57.5	683360.0249652802
58.	679433.0988130397
58.5	675559.1996376544
59.	671737.210264597
59.5	667966.0451917194
60.	664244.6494719932
60.5	660571.9976428897
61.	656947.0927001793
61.5	653368.9651140454
62.	649836.6718855218
62.5	646349.2956413627
63.	642905.9437655545
63.5	639505.7475657724
64.	636147.8614731686
64.5	632831.4622739662
65.	629555.7483714073
65.5	626319.9390766794
66.	623123.2739275136
66.5	619965.0120332123
67.	616844.4314449299
67.5	613760.8285500848
68.	610713.5174898388
68.5	607701.8295986329
69.	604725.1128648164
69.5	601782.7314114564
70.	598874.0649964527
70.5	595998.508531138
71.	593155.4716165656
71.5	590344.3780967421
72.	587564.6656280849
72.5	584815.7852644273
73.	582097.201056921
73.5	579408.3896682184
74.	576748.8400003442
74.5	574118.0528356973
75.	571515.5404906442
75.5	568940.8264811948
76.	566393.4452002719
76.5	563872.941606109
77.	561378.870921333
77.5	558910.798342306
78.	556468.2987583218
78.5	554050.95648027
79.	551658.3649783971
79.5	549290.1266288125
80.	546945.8524683979
