0.1	0.
0.6	1.0900308976480234e6
1.1	1.4993572874407668e6
1.6	1.8503229184431576e6
2.1	2.1443002539948598e6
2.6	2.407289778110088e6
3.1	2.6500201341071166e6
3.6	2.8736498301794734e6
4.1	3.074614697919069e6
4.6	3.247784925090256e6
5.1	3.388213305927212e6
5.6	3.4920319697778495e6
6.1	3.5570083244459005e6
6.6	3.582989545462389e6
7.1	3.572165266204391e6
7.6	3.5289571898995275e6
8.1	3.459458412250529e6
8.6	3.370562509839535e6
9.1	3.2690539424823453e6
9.6	3.16090154493325e6
10.1	3.0508675316350483e6
10.6	2.942415581678249e6
11.1	2.8378291017498192e6
11.6	2.7384367694575693e6
12.1	2.6448634776931107e6
12.6	2.5572567484593512e6
13.1	2.475466789149957e6
13.6	2.3991771356689394e6
14.1	2.3279925513341543e6
14.6	2.2614941594434776e6
15.1	2.199271495534278e6
15.6	2.140939354213663e6
16.1	2.0861451964689188e6
16.6	2.0345710412110381e6
17.1	1.985932362731573e6
17.6	1.939975535516616e6
18.1	1.8964747228408311e6
18.6	1.8552287006385732e6
19.1	1.8160578647562277e6
19.6	1.778801528995126e6
20.1	1.7433155441768833e6
20.6	1.7094702287529863e6
21.1	1.677148583296871e6
21.6	1.64624475483808e6
22.1	1.6166627167454723e6
22.6	1.5883151324806812e6
23.1	1.5611223753591285e6
23.6	1.5350116803025582e6
24.1	1.5099164073737415e6
24.6	1.4857754000976274e6
25.1	1.4625324243989575e6
25.6	1.4401356763250509e6
26.1	1.4185373486949594e6
26.6	1.397693248404943e6
27.1	1.3775624574613478e6
27.6	1.3581070318933248e6
28.1	1.3392917336021422e6
28.6	1.321083790962013e6
29.1	1.3034526845640207e6
29.6	1.2863699550541737e6
30.1	1.2698090304193858e6
30.6	1.2537450704451455e6
31.1	1.2381548263725662e6
31.6	1.2230165140408813e6
32.1	1.2083096990217562e6
32.6	1.1940151924395165e6
33.1	1.1801149563330049e6
33.6	1.1665920175550191e6
34.1	1.1534303893124273e6
34.6	1.1406149995946202e6
35.1	1.1281316257574004e6
35.6	1.1159668346797395e6
36.1	1.1041079279384227e6
36.6	1.0925428915167185e6
37.1	1.081260349614516e6
37.6	1.0702495221754669e6
38.1	1.0595001857860808e6
38.6	1.0490026376380366e6
39.1	1.0387476622768288e6
39.6	1.0287265008880788e6
40.1	1.018930822897761e6
40.6	1.0093526996849318e6
41.1	999984.5802252678
41.6	990819.2685013716
42.1	981849.9025314683
42.6	973069.9348823257
43.1	964473.1145454941
43.6	956053.4700612206
44.1	947805.2938027717
44.6	939723.127313003
45.1	931801.7476223859
45.6	924036.1544681208
46.1	916421.5583463887
46.6	908953.3693338911
47.1	901627.1866218132
47.6	894438.7887091059
48.1	887384.1242068666
48.6	880459.3032094648
49.1	873660.5891917893
49.6	866984.3913953446
50.1	860427.2576687173
50.6	853985.8677309939
51.1	847657.0268289065
51.6	841437.6597609749
52.1	835324.8052440563
52.6	829315.6105983183
53.1	823407.3267322044
53.6	817597.3034054656
54.1	811882.9847510257
54.6	806261.9050445956
55.1	800731.6846969617
55.6	795290.0264686677
56.1	789934.711877702
56.6	784663.5977992407
57.1	779474.6132414119
57.6	774365.7562872309
58.1	769335.091192504
58.6	764380.745630601
59.1	759500.9080752932
59.6	754693.8253136653
60.1	749957.8000815028
60.6	745291.1888141357
61.1	740692.3995061493
61.6	736159.8896738109
62.1	731692.1644144661
62.6	727287.7745574875
63.1	722945.3149017798
63.6	718663.4225350508
64.1	714440.7752304776
64.6	710276.0899165389
65.1	706168.1212161916
65.6	702115.6600516771
66.1	698117.5323124034
66.6	694172.5975770685
67.1	690279.7479014042
67.6	686437.9066490532
68.1	682646.027377815
68.6	678903.0927726814
69.1	675208.1136242875
69.6	671560.1278505053
70.1	667958.1995592248
70.6	664401.418149441
71.1	660888.8974506122
71.6	657419.774896457
72.1	653993.2110291194
72.6	650608.3872568145
73.1	647264.508088223
73.6	643960.7974676983
74.1	640696.4995844084
74.6	637470.877929433
75.1	634283.2146745393
75.6	631132.810075009
76.1	628018.981895488
76.6	624941.0648577786
77.1	621898.4101096223
77.6	618890.3847135028
78.1	615916.3711546527
78.6	612975.7668673444
79.1	610067.9837787376
79.6	607192.44786949
