6.8	0.
7.3	1.814818303039616e6
7.8	2.0086310333160223e6
8.3	2.0798522103068072e6
8.8	2.100558278295786e6
9.3	2.0956616456282726e6
9.8	2.0766073084101374e6
10.3	2.0494422361774896e6
10.8	2.0176364735427827e6
11.3	1.9832894303290606e6
11.8	1.947715993583784e6
12.3	1.9117577420316343e6
12.8	1.8759593348766405e6
13.3	1.840673590739058e6
13.8	1.8061265799433866e6
14.3	1.7724592260942305e6
14.8	1.7397545754887313e6
15.3	1.7080560445432747e6
15.8	1.6773798375470324e6
16.3	1.6477235134668848e6
16.8	1.6190719607697674e6
17.3	1.5914015994813954e6
17.8	1.5646833541920176e6
18.3	1.5388847648729454e6
18.8	1.513971486922861e6
19.3	1.4899083550368352e6
19.8	1.4666601333933347e6
20.3	1.4441920390535141e6
20.8	1.4224701012718882e6
21.3	1.4014614005515177e6
21.8	1.3811342213377059e6
22.3	1.3614581412695006e6
22.8	1.342404074787302e6
23.3	1.3239442839117732e6
23.8	1.3060523656939482e6
24.3	1.2887032233624896e6
24.8	1.2718730263661023e6
25.3	1.2555391631526556e6
25.8	1.2396801895166864e6
26.3	1.224275774592789e6
26.8	1.2093066460081192e6
27.3	1.1947545352842472e6
27.8	1.180602124261863e6
28.3	1.1668329930840554e6
28.8	1.153431570096935e6
29.3	1.1403830838932975e6
29.8	1.127673517627696e6
30.3	1.1152895656582718e6
30.8	1.1032185925186854e6
31.3	1.0914485941851272e6
31.8	1.0799681615773814e6
32.3	1.0687664462140875e6
32.8	1.0578331279313576e6
33.3	1.0471583845663558e6
33.8	1.0367328635042075e6
34.3	1.026547654939652e6
34.8	1.0165942670176877e6
35.3	1.0068646021163946e6
35.8	997350.9349936829
36.3	988045.8921160978
36.8	978942.4323098985
37.3	970033.8286146821
37.8	961313.6512613968
38.3	952775.7517010286
38.8	944414.2476148286
39.3	936223.5088410552
39.8	928198.1441577371
40.3	920332.9888647408
40.8	912623.0931121564
41.3	905063.710925842
41.8	897650.2898840293
42.3	890378.4614022498
42.8	883244.031586799
43.3	876242.9726194785
43.8	869371.414639297
44.3	862625.6380888794
44.8	856002.0664957523
45.3	849497.2596606332
45.8	843107.9072269237
46.3	836830.8226072342
46.8	830662.9372445066
47.3	824601.2951868885
47.8	818643.047956833
48.3	812785.4496962829
48.8	807025.8525711009
49.3	801361.7024188876
49.8	795790.5346255382
50.3	790309.9702167619
50.8	784917.7121518655
51.3	779611.5418076272
51.8	774389.3156413357
52.3	769248.9620223439
52.8	764188.4782225026
53.3	759205.9275562124
53.8	754299.436661711
54.3	749467.1929154363
54.8	744707.4419720353
55.3	740018.485422988
55.8	735398.678567338
56.3	730846.4282881734
56.8	726360.191029236
57.3	721938.4708661911
57.8	717579.8176673821
58.3	713282.8253392921
58.8	709046.1301523409
59.3	704868.4091425585
59.8	700748.3785853346
60.3	696684.7925374123
60.8	692676.4414435828
61.3	688722.1508048606
61.8	684820.7799048414
62.3	680971.2205914537
62.8	677172.3961112347
63.3	673423.2599935308
63.8	669722.794953042
64.3	666070.0119798867
64.8	662463.9491936064
65.3	658903.6710113258
65.8	655388.2672208076
66.3	651916.8521167136
66.8	648488.563672168
67.3	645102.5627438171
67.8	641758.0323088832
68.3	638454.1767327201
68.8	635190.2210654146
69.3	631965.4103661536
69.8	628779.0090540383
70.3	625630.3002841206
70.8	622518.5853476502
71.3	619443.183095251
71.8	616403.429382184
72.3	613398.676534602
72.8	610428.2928359017
73.3	607491.6620323408
73.8	604588.1828569913
74.3	601717.2685713429
74.8	598878.3465236914
75.3	596070.8577236494
75.8	593294.2564321328
76.3	590548.0097660837
76.8	587831.5973173754
77.3	585144.5107852775
77.8	582486.2536219457
78.3	579856.3406903704
78.8	577254.297934284
79.3	574679.6620595565
79.8	572131.9802266058
